Study,Year,PMID,experimental_events,experimental_total,control_events,control_total, Cofactor,
Rivers,     2001,11794169,   38, 130,  59, 133, 7.4,
ProCESS,    2014,24635773,   92, 439,  86, 456, 4.9,
ARISE,      2014,25272316,  115, 793, 125, 798, 6.6,
ProMISe,    2015, 25776532, 184, 630, 181, 630, 6.9,
,,,,,,,,
,,,,,,,To make forest plot:,
,,,,,,,Click 'Raw' view of this file,
,,,,,,,Copy rows of data without column names,
,,,,,,,Paste into one of the editors at https://openmetaanalysis.ocpu.io,
